SYMBOL,Gene,Feature
IARS,ENSG00000196305,ENST00000375643
IARS,ENSG00000196305,ENST00000498025
IARS,ENSG00000196305,ENST00000395554
IARS,ENSG00000196305,ENST00000447699
IARS,ENSG00000196305,ENST00000443024
AIF1L,ENSG00000126878,ENST00000372301
AIF1L,ENSG00000126878,ENST00000372309
AIF1L,ENSG00000126878,ENST00000372300
AIF1L,ENSG00000126878,ENST00000372297
AIF1L,ENSG00000126878,ENST00000372302
AIF1L,ENSG00000126878,ENST00000247291
AIF1L,ENSG00000126878,ENST00000372298
AIF1L,ENSG00000126878,ENST00000472942
AIF1L,ENSG00000126878,ENST00000372314
BLNK,ENSG00000095585,ENST00000467799
BLNK,ENSG00000095585,ENST00000224337
BLNK,ENSG00000095585,ENST00000427367
BLNK,ENSG00000095585,ENST00000371176
BLNK,ENSG00000095585,ENST00000413476
BLNK,ENSG00000095585,ENST00000472763
STAT6,ENSG00000166888,ENST00000557781
STAT6,ENSG00000166888,ENST00000555849
STAT6,ENSG00000166888,ENST00000556155
STAT6,ENSG00000166888,ENST00000553533
STAT6,ENSG00000166888,ENST00000556259
STAT6,ENSG00000166888,ENST00000553499
STAT6,ENSG00000166888,ENST00000555318
STAT6,ENSG00000166888,ENST00000538913
STAT6,ENSG00000166888,ENST00000555375
STAT6,ENSG00000166888,ENST00000554202
STAT6,ENSG00000166888,ENST00000555641
STAT6,ENSG00000166888,ENST00000543873
STAT6,ENSG00000166888,ENST00000553397
STAT6,ENSG00000166888,ENST00000554764
STAT6,ENSG00000166888,ENST00000555222
STAT6,ENSG00000166888,ENST00000454075
STAT6,ENSG00000166888,ENST00000554663
STAT6,ENSG00000166888,ENST00000554825
STAT6,ENSG00000166888,ENST00000537215
STAT6,ENSG00000166888,ENST00000300134
STAT6,ENSG00000166888,ENST00000555104
,,ENSR00001823040
LGR5,ENSG00000139292,ENST00000547310
LGR5,ENSG00000139292,ENST00000536515
LGR5,ENSG00000139292,ENST00000550851
RP11-186F10.2,ENSG00000257761,ENST00000546601
LGR5,ENSG00000139292,ENST00000266674
LGR5,ENSG00000139292,ENST00000540815
TET1P1,ENSG00000232204,ENST00000426627
MCF2L,ENSG00000126217,ENST00000494043
MCF2L,ENSG00000126217,ENST00000423251
MCF2L,ENSG00000126217,ENST00000375597
MCF2L,ENSG00000126217,ENST00000375604
MCF2L,ENSG00000126217,ENST00000469558
MCF2L,ENSG00000126217,ENST00000535094
MCF2L,ENSG00000126217,ENST00000397030
MCF2L,ENSG00000126217,ENST00000421756
MCF2L,ENSG00000126217,ENST00000480321
MCF2L,ENSG00000126217,ENST00000397021
MCF2L,ENSG00000126217,ENST00000473345
MCF2L,ENSG00000126217,ENST00000375608
MCF2L,ENSG00000126217,ENST00000409954
,,ENSR00001865406
,,
CTD-2026K11.1,ENSG00000260892,ENST00000569467
CSPG4,ENSG00000173546,ENST00000308508
CTD-2026K11.6,ENSG00000203392,ENST00000435356
,,ENSR00001866355
MORF4L1,ENSG00000185787,ENST00000559345
MORF4L1,ENSG00000185787,ENST00000558830
MORF4L1,ENSG00000185787,ENST00000558746
MORF4L1,ENSG00000185787,ENST00000558539
MORF4L1,ENSG00000185787,ENST00000560422
MORF4L1,ENSG00000185787,ENST00000559258
MORF4L1,ENSG00000185787,ENST00000559930
MORF4L1,ENSG00000185787,ENST00000559158
MORF4L1,ENSG00000185787,ENST00000558923
MORF4L1,ENSG00000185787,ENST00000559619
MORF4L1,ENSG00000185787,ENST00000331268
MORF4L1,ENSG00000185787,ENST00000426013
MORF4L1,ENSG00000185787,ENST00000558893
MORF4L1,ENSG00000185787,ENST00000557961
MORF4L1,ENSG00000185787,ENST00000559697
MORF4L1,ENSG00000185787,ENST00000558522
MORF4L1,ENSG00000185787,ENST00000558502
MORF4L1,ENSG00000185787,ENST00000559244
MORF4L1,ENSG00000185787,ENST00000559690
MORF4L1,ENSG00000185787,ENST00000561171
MORF4L1,ENSG00000185787,ENST00000559751
MORF4L1,ENSG00000185787,ENST00000379535
CES1,ENSG00000198848,ENST00000563005
CES1,ENSG00000198848,ENST00000565403
CES1,ENSG00000198848,ENST00000361503
CES1,ENSG00000198848,ENST00000360526
CES1,ENSG00000198848,ENST00000422046
CES1,ENSG00000198848,ENST00000566555
RP11-219A15.4,ENSG00000272815,ENST00000602730
KRT16P6,ENSG00000226145,ENST00000584481
KRT16P6,ENSG00000226145,ENST00000583748
KRT16P6,ENSG00000226145,ENST00000425692
KRT16P6,ENSG00000226145,ENST00000417510
,,
MYO19,ENSG00000278259,ENST00000620413
MYO19,ENSG00000278259,ENST00000611794
MYO19,ENSG00000278259,ENST00000621550
MYO19,ENSG00000278259,ENST00000615902
MYO19,ENSG00000278259,ENST00000614416
MYO19,ENSG00000278259,ENST00000611125
MYO19,ENSG00000278259,ENST00000614623
MYO19,ENSG00000278259,ENST00000610992
MYO19,ENSG00000278259,ENST00000611063
MYO19,ENSG00000278259,ENST00000610576
MYO19,ENSG00000278259,ENST00000612097
MYO19,ENSG00000278259,ENST00000611622
MYO19,ENSG00000278259,ENST00000610930
MYO19,ENSG00000278259,ENST00000620943
CSH1,ENSG00000136488,ENST00000316193
CSH1,ENSG00000136488,ENST00000453363
CSH1,ENSG00000136488,ENST00000610991
CSH1,ENSG00000136488,ENST00000558284
CSH1,ENSG00000136488,ENST00000558661
CSH1,ENSG00000136488,ENST00000329882
ZNF699,ENSG00000196110,ENST00000588336
ZNF699,ENSG00000196110,ENST00000308650
ZNF699,ENSG00000196110,ENST00000591998
CPAMD8,ENSG00000160111,ENST00000599287
CPAMD8,ENSG00000160111,ENST00000597709
RN7SL835P,ENSG00000264250,ENST00000579920
CPAMD8,ENSG00000160111,ENST00000601782
CPAMD8,ENSG00000160111,ENST00000388925
CPAMD8,ENSG00000160111,ENST00000594249
CPAMD8,ENSG00000160111,ENST00000443236
SPRED3,ENSG00000188766,ENST00000587947
GGN,ENSG00000179168,ENST00000334928
SPRED3,ENSG00000188766,ENST00000590962
SPRED3,ENSG00000188766,ENST00000586301
SPRED3,ENSG00000188766,ENST00000338502
GGN,ENSG00000179168,ENST00000586599
GGN,ENSG00000179168,ENST00000587676
SPRED3,ENSG00000188766,ENST00000587013
GGN,ENSG00000179168,ENST00000585737
SPRED3,ENSG00000188766,ENST00000586958
SPRED3,ENSG00000188766,ENST00000587564
GGN,ENSG00000179168,ENST00000591809
,,ENSR00001913457
LGALS14,ENSG00000006659,ENST00000360675
LGALS14,ENSG00000006659,ENST00000392052
LGALS14,ENSG00000006659,ENST00000601802
,,ENSR00001913774
CTC-360J11.4,ENSG00000268379,ENST00000594883
,,ENSR00001955642
,,
5S_rRNA,ENSG00000275305,ENST00000612928
,,ENSR00001955742
,,ENSR00001667249
,,
PCNT,ENSG00000160299,ENST00000359568
PCNT,ENSG00000160299,ENST00000483844
PCNT,ENSG00000160299,ENST00000466474
PCNT,ENSG00000160299,ENST00000490468
PCNT,ENSG00000160299,ENST00000480896
,,
MYH9,ENSG00000100345,ENST00000216181
MYH9,ENSG00000100345,ENST00000401701
MYH9,ENSG00000100345,ENST00000477189
MYH9,ENSG00000100345,ENST00000472210
MYH9,ENSG00000100345,ENST00000463027
LINC00850,ENSG00000280752,ENST00000629221
,,ENSR00002141318
,,
YRDC,ENSG00000196449,ENST00000373044
C1orf122,ENSG00000197982,ENST00000419397
C1orf122,ENSG00000197982,ENST00000373043
MTF1,ENSG00000188786,ENST00000373036
C1orf122,ENSG00000197982,ENST00000468084
C1orf122,ENSG00000197982,ENST00000373042
SZT2,ENSG00000198198,ENST00000470139
SZT2,ENSG00000198198,ENST00000478140
SZT2,ENSG00000198198,ENST00000562955
HIST2H3DP1,ENSG00000213244,ENST00000401004
HIST2H2BA,ENSG00000223345,ENST00000430394
RP11-439A17.10,ENSG00000234998,ENST00000426275
HIST2H2BA,ENSG00000223345,ENST00000412169
RP11-439A17.4,ENSG00000227193,ENST00000427872
,,ENSR00001759596
CELF3,ENSG00000159409,ENST00000420342
CELF3,ENSG00000159409,ENST00000478829
CELF3,ENSG00000159409,ENST00000290583
CELF3,ENSG00000159409,ENST00000290585
CELF3,ENSG00000159409,ENST00000470688
CELF3,ENSG00000159409,ENST00000419910
CELF3,ENSG00000159409,ENST00000479893
RIIAD1,ENSG00000178796,ENST00000326413
RP11-98D18.1,ENSG00000227045,ENST00000457548
